Quarter-ID,QUARTER,YEAR,Course UID,CLASS,TITLE,UNITS,DATES,TIMES,PROGRAM,WEEKS,INSTRUCTOR,Comments
2,WINTER 2021,,,MSIS 2622,ERP Systems,4,MW,5:45pm-7:20pm,MS,,,
,SPRING 2021,,,,Global Supply Chain,,,,,,Additional after original ask,
3,SPRING 2021,,,MSIS 2602,Information Systems Analysis & Design,4,TR,5:45pm-7:20pm,MS,,,
1,FALL 2020,,,MSIS 2604/OMIS 3372,Information Systems Analysis & Design,4,MW,7:35pm-9:10pm,MBA/MS,,,
2,WINTER 2021,,,MSIS 2602/OMIS 3372,Information Systems Analysis & Design,4,TR,7:35pm-9:10pm,MS,,,
2,WINTER 2021,,,MSIS 2604,Information Systems Strategy & Mgmt,4,MW,7:35pm-9:10pm,MS,,,
2,WINTER 2021,,,MSIS 2508/2631,Machine Learning,4,MW,5:45pm-7:20pm,MS,,,
3,SPRING 2021,,,OMIS XXXX/MSIS 2631,Machine Learning,4,MW,5:45pm-7:20pm,MBA/MS,,,
2,WINTER 2021,,,MSIS 2508/2631,Machine Learning,4,MW,7:35pm-9:10pm,MS,,,
3,SPRING 2021,,,EMBA 910,"Managing Operations, Technologies, and Supply Chains",6,,,EMBA,,"Agrawal, N.",
1,FALL 2020,,,MSIS 2502/2402,Math for Finance & Analytics*,4,MW,5:45pm-7:20pm,MS,,,
1,FALL 2020,,,MSIS 2502,Math for Finance & Analytics*,4,MW,7:35pm-9:10pm,MS,,,Belongs to ISA department
1,FALL 2020,,,MSIS 2534/MSIS 2634,Natural Language Processing,2,MW,5:45pm - 7:20pm,,Weeks 1-5,"Das, Sanjiv (FNCE)",Are the two sections in different weeks?
1,FALL 2020,,,MSIS 2534/MSIS 2634,Natural Language Processing,2,MW,5:45pm - 7:20pm,,Weeks 6-10,"Das, Sanjiv (FNCE)",
3,SPRING 2021,,,MSIS 2534/MSIS 2634,Natural Language Processing,2,MW,5:45pm - 7:20pm,MS,6-10,"Das, Sanjiv (FNCE)",
3,SPRING 2021,,,MSIS 2534/MSIS 2634,Natural Language Processing,2,MW,5:45pm - 7:20pm,MS,6-10,"Das, Sanjiv (FNCE)",
3,SPRING 2021,,,OMIS 3390/2390,New Product Development,4,TR,7:35pm-9:10pm,MBA/MS,,,Are the two sections offered at the same time slot?
2,WINTER 2021,,,MSIS 2601,Object-Oriented,4,TR,5:45pm-7:20pm,MS,,,talk to instructor
3,SPRING 2021,,,MSIS 2601,Object-Oriented,4,MW,5:45pm-7:20pm,MS,,,
4,SUMMER 2021,,,OMIS 3252,Operations Management,2,TR,5:45pm-7:20pm,MBA,1-5,,
2,WINTER 2021,,,OMIS 3252,Operations Management,2,TR,7:35pm-9:10pm,MBA,6-10,,
3,SPRING 2021,,,OMIS 3252,Operations Management,2,TR,7:35pm-9:10pm,MBA,,,
4,SUMMER 2021,,,OMIS 3252,Operations Management,2,TR,7:35pm-9:10pm,MBA,1-5,,
4,SUMMER 2021,,,OMIS 3252,Operations Management,2,MW,7:35pm-9:10pm,MBA,1-5,,
2,WINTER 2021,,,OMIS 3252,Operations Management,2,,ONLINE,OMBA,6-10,,
2,WINTER 2021,,,OMIS 3252,Operations Management,2,,ONLINE,OMBA,6-10,,
4,SUMMER 2021,,,OMIS 3252,Operations Management,2,,ONLINE,OMBA,6-10,,
4,SUMMER 2021,,,OMIS 3252,Operations Management,2,,ONLINE,OMBA,6-10,,
